amplicon,sample_name,sample_title,sra_title,block,unique_id,drought,inoculum,fire_freq,species,sra_accession,sra_bioproject,filename_r1,filename_r2,wilting_scale,bud_number,leaf_number,leaf_length,height,nodule_num,shoot_dm,final_root_dm,seqtab_rows,inoculum_site,inoculum_burn_freq,mean_NO3,mean_NH4,mean_P,mean_K,mean_SO4_S,mean_B,mean_OM,mean_pH,mean_EC,mean_Zn,mean_Mn,mean_Cu,mean_Fe,mean_Ca,mean_Mg,mean_Na,mean_TKN,mean_C_N_ratio,mean_Sand,mean_Silt,mean_Clay,host,other_frompreviouscolumn
16S,R-001,R-001_16S,16S amplicons from GrandFir sample R-001,1,Q001,D,1Burn_W4,1,GrandFir,SRR27554241,PRJNA1064977,R-001_S123_L001_R1_001.fastq.gz,R-001_S123_L001_R2_001.fastq.gz,3,11,72,3.2,9,NA,0.5209,0.9291,R-001,4,1,4.16666666666667,10.4333333333333,8.33333333333333,72.3333333333333,9.66666666666667,0.05,5.97666666666667,6,0.033333333333333,0.333333333333333,12.2,0.733333333333333,20.6666666666667,1.5,0.333333333333333,0.056666666666667,0.103,17.1983333333333,88.8,10.8,0.4,Abies grandis,NA
16S,R-002,R-002_16S,16S amplicons from Snowbrush sample R-002,1,Q002,D,1Burn_W3,1,Snowbrush,SRR27554240,PRJNA1064977,R-002_S25_L001_R1_001.fastq.gz,R-002_S25_L001_R2_001.fastq.gz,6,0,16,2.8,4.1,0,0.227,0.3547,R-002,3,1,1.7,4.96666666666667,7.33333333333333,61.6666666666667,11.3333333333333,0.07,5.18333333333333,6.36666666666667,0.416666666666667,0.1,10.1,0.666666666666667,15.3333333333333,2.03333333333333,0.3,0.04,0.099,27.1886666666667,82.8,16.8,0.4,Ceanothus velutinus,NA
16S,R-003,R-003_16S,16S amplicons from Snowbrush sample R-003,1,Q003,D,Sterile,NA,Snowbrush,SRR27553989,PRJNA1064977,R-003_S37_L001_R1_001.fastq.gz,R-003_S37_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,0,0.5242,0.9035,R-003,Sterile,NA,2.45,19.1,6.16666666666667,52.8333333333333,8.5,0.04,4.825,5.73333333333333,0.11,0.25,63.2833333333333,0.533333333333333,14.8333333333333,1.55,0.3,0.07,0.110333333333333,25.6353333333333,88.8,10.8,0.4,Ceanothus velutinus,NA
16S,R-004,R-004_16S,16S amplicons from GrandFir sample R-004,1,Q004,ND,0Burn_W2,0,GrandFir,SRR27554006,PRJNA1064977,R-004_S135_L001_R1_001.fastq.gz,R-004_S135_L001_R2_001.fastq.gz,1,10,45,1.9,5.2,NA,0.2119,0.3397,R-004,2,0,1.33333333333333,8.1,7.66666666666667,92.3333333333333,6,0.043333333333333,6.40666666666667,6.16666666666667,0.086666666666667,0.266666666666667,16,0.433333333333333,29,1.83333333333333,0.333333333333333,0.036666666666667,0.166333333333333,26.2156666666667,80.8,18.8,0.4,Abies grandis,NA
16S,R-005,R-005_16S,16S amplicons from GrandFir sample R-005,1,Q005,ND,3Burn_W6,3,GrandFir,SRR27554099,PRJNA1064977,R-005_S147_L001_R1_001.fastq.gz,R-005_S147_L001_R2_001.fastq.gz,1,6,63,2.4,5.2,NA,0.2816,0.4679,R-005,6,3,8.53333333333333,6.2,7.66666666666667,59.3333333333333,4.66666666666667,0.103333333333333,5.67,5.73333333333333,0.053333333333333,0.733333333333333,10.2333333333333,0.766666666666667,23,2.86666666666667,0.4,0.046666666666667,0.156666666666667,21.452,90.8,8.8,0.4,Abies grandis,NA
16S,R-006,R-006_16S,16S amplicons from GrandFir sample R-006,1,Q006,D,Sterile,NA,GrandFir,SRR27554088,PRJNA1064977,R-006_S159_L001_R1_001.fastq.gz,R-006_S159_L001_R2_001.fastq.gz,1,6,47,2.6,6.4,NA,0.1826,0.1886,R-006,Sterile,NA,2.45,19.1,6.16666666666667,52.8333333333333,8.5,0.04,4.825,5.73333333333333,0.11,0.25,63.2833333333333,0.533333333333333,14.8333333333333,1.55,0.3,0.07,0.110333333333333,25.6353333333333,88.8,10.8,0.4,Abies grandis,NA
16S,R-007,R-007_16S,16S amplicons from Snowbrush sample R-007,1,Q007,ND,1Burn_W4,1,Snowbrush,SRR27553937,PRJNA1064977,R-007_S49_L001_R1_001.fastq.gz,R-007_S49_L001_R2_001.fastq.gz,1,0,33,3.4,5.1,1,0.9163,1.8878,R-007,4,1,4.16666666666667,10.4333333333333,8.33333333333333,72.3333333333333,9.66666666666667,0.05,5.97666666666667,6,0.033333333333333,0.333333333333333,12.2,0.733333333333333,20.6666666666667,1.5,0.333333333333333,0.056666666666667,0.103,17.1983333333333,88.8,10.8,0.4,Ceanothus velutinus,NA
16S,R-008,R-008_16S,16S amplicons from Snowbrush sample R-008,1,Q008,ND,0Burn_W2,0,Snowbrush,SRR27553926,PRJNA1064977,R-008_S61_L001_R1_001.fastq.gz,R-008_S61_L001_R2_001.fastq.gz,1,0,30,2.6,4.2,0,0.5086,0.7875,R-008,2,0,1.33333333333333,8.1,7.66666666666667,92.3333333333333,6,0.043333333333333,6.40666666666667,6.16666666666667,0.086666666666667,0.266666666666667,16,0.433333333333333,29,1.83333333333333,0.333333333333333,0.036666666666667,0.166333333333333,26.2156666666667,80.8,18.8,0.4,Ceanothus velutinus,NA
16S,R-010,R-010_16S,16S amplicons from GrandFir sample R-010,1,Q010,D,3Burn_W6,3,GrandFir,SRR27553915,PRJNA1064977,R-010_S171_L001_R1_001.fastq.gz,R-010_S171_L001_R2_001.fastq.gz,2,8,118,2.4,7.1,NA,0.556,0.5802,R-010,6,3,8.53333333333333,6.2,7.66666666666667,59.3333333333333,4.66666666666667,0.103333333333333,5.67,5.73333333333333,0.053333333333333,0.733333333333333,10.2333333333333,0.766666666666667,23,2.86666666666667,0.4,0.046666666666667,0.156666666666667,21.452,90.8,8.8,0.4,Abies grandis,NA
16S,R-011,R-011_16S,16S amplicons from GrandFir sample R-011,1,Q011,ND,3Burn_W5,3,GrandFir,SRR27554076,PRJNA1064977,R-011_S183_L001_R1_001.fastq.gz,R-011_S183_L001_R2_001.fastq.gz,1,12,55,2.9,7.4,NA,0.2878,0.6321,R-011,5,3,14.5333333333333,7.16666666666667,7,82,4.33333333333333,0.153333333333333,7.07333333333333,6.3,0.113333333333333,0.866666666666667,15.5666666666667,0.833333333333333,23,4.96666666666667,0.566666666666667,0.05,0.239333333333333,17.4663333333333,86.8,10.8,2.4,Abies grandis,NA
